icao24,firstSeen,estDepartureAirport,lastSeen,estArrivalAirport,callsign,estDepartureAirportHorizDistance,estDepartureAirportVertDistance,estArrivalAirportHorizDistance,estArrivalAirportVertDistance,departureAirportCandidatesCount,arrivalAirportCandidatesCount
7c7b65,1669337597,YPPF,1669338559,YLYK,YNR     ,568,24,18360,1021,2,1
a2b1ab,1669334879,KBOI,1669340957,KNZY,ASA845  ,548,181,11606,525,2,5
a57c78,1669337335,KLVK,1669338455,KHAF,N4524K  ,2654,335,1095,20,1,2
abb5e2,1669335741,KCOS,1669340392,KLAS,SWA753  ,2475,140,2034,169,1,4
aca3d1,1669337591,KLAS,1669341005,KSJC,SWA44   ,1117,123,100,102,2,3
e48e49,1669338364,SBKP,1669341538,,AZU2761 ,6674,473,,,0,0
71c093,1669336806,,1669338397,,KAL1707 ,,,,,0,0
71bf25,1669337645,,1669340180,RKSS,KAL1158 ,,,5627,157,0,5
885963,1669335837,VTBS,1669336971,,TVJ320  ,3680,425,,,0,0
896215,1669339466,,1669341429,OMDB,UAE714  ,,,2055,34,0,2
8965cd,1669335087,OTBD,1669337943,OMDW,FDB9YR  ,2254,103,806,19,1,1
7c3fdf,1669337658,YSBK,1669340301,,FD264   ,1049,52,,,1,0
8a064f,1669334655,,1669336337,,CTV936  ,,,,,0,0
a54e71,1669336279,PANC,1669338472,,SVX42   ,1466,167,,,7,0
aa67ec,1669336030,KOJC,1669338459,,N77NT   ,2575,306,,,2,0
acbd72,1669337577,4TX8,1669338469,TA65,N92SS   ,1204,600,3990,2357,17,3
c0011b,1669335106,CYVR,1669338719,,,1808,72,,,0,0
c0322e,1669334675,,1669340186,,CFTAB   ,,,,,0,0
e4962e,1669334559,,1669336004,SBKP,AZU4213 ,,,5367,184,0,4
3a4d01,1669336253,,1669337576,NZAA,ACI410A ,,,1343,76,0,2
710115,1669336233,,1669340810,OMDB,SVA590  ,,,2215,26,0,2
750474,1669336593,,1669338464,WBKK,AXM6072 ,,,1551,35,0,0
800d3f,1669336461,,1669339027,VIAM,GOW911  ,,,6205,1826,0,1
8832aa,1669336069,VTBD,1669336714,,TLM620  ,5784,660,,,0,0
8963bc,1669337380,,1669339077,OMDB,FDB438  ,,,1809,41,0,2
a10967,1669338323,KSBP,1669340001,KSJC,EJA166  ,2197,362,350,87,0,3
a23914,1669335171,KSLC,1669336068,,SKW3619 ,2317,31,,,1,0
a891e0,1669336342,,1669337266,,EJA651  ,,,,,0,0
ac08d4,1669338042,KRNO,1669341590,KLAX,SWA820  ,756,57,1410,45,0,8
abd59a,1669335523,KDAL,1669340879,KATL,SWA2048 ,1876,148,2594,0,1,20
abf29f,1669335167,KSFO,1669338839,KNZY,SWA4654 ,58,72,13091,616,0,5
c080d9,1669335467,CYUL,1669339289,CYYZ,ACA425  ,937,66,1333,36,0,4
c81ce8,1669335123,,1669335752,NZPM,MSY234  ,,,2625,243,0,2
c81e2c,1669338473,NZWN,1669341026,NZAA,ANZ432  ,7066,901,1972,107,0,2
e4956e,1669336713,SBBR,1669338506,,GLO1710 ,2417,8,,,1,0
e4988d,1669338769,SBBR,1669340502,,GLO1774 ,1423,14,,,1,0
e80326,1669336038,SPJC,1669336758,,SKX5083 ,1189,361,,,3,0
151fbc,1669335330,,1669340575,USCC,AUL527  ,,,16748,2478,0,1
71ba12,1669335944,RKSI,1669340133,RJOT,ASV741  ,4993,663,25907,927,0,0
758532,1669336744,,1669338896,RPLL,CEB962  ,,,2400,7,0,1
800bd4,1669335936,,1669340392,VOMM,AIC570  ,,,2322,52,0,1
8880df,1669340053,VVGL,1669341281,,HVN245  ,13051,1569,,,0,0
8881bc,1669336949,,1669338292,,BAV1035 ,,,,,0,0
7c0ada,1669339108,YCDR,1669339976,,CFG     ,1475,575,,,0,0
7c3acc,1669335370,YBAF,1669339747,YKBN,LWE     ,343,19,16657,276,0,1
7c3f94,1669334994,,1669336206,YSCH,MUE     ,,,2228,5,0,0
7c4e41,1669335794,,1669336806,YPPF,PQR     ,,,1435,24,0,4
7c5c99,1669339435,YWOL,1669340296,YWOL,SKR     ,3830,843,5759,874,0,1
7c5c99,1669335976,YWOL,1669337246,YWOL,SKR     ,3468,836,14210,760,0,4
7c6ddd,1669336207,YBBN,1669337729,,QFA986  ,2787,18,,,0,0
8a03f4,1669337974,,1669341088,,AWQ201  ,,,,,0,0
8a0908,1669334652,,1669338535,,SJV899  ,,,,,0,0
a22839,1669336957,KPHX,1669340398,KLGB,SWA456  ,628,71,596,86,1,7
a41902,1669336107,KSUA,1669341107,KSPG,N363SA  ,875,35,950,28,1,6
a40b80,1669339269,KSBD,1669339879,KL26,REH13   ,3602,599,2221,1054,1,6
a6ab29,1669337647,51OI,1669341185,KDAY,N529JD  ,611,1010,2236,12,4,21
a7f096,1669336334,KSFO,1669340347,KONT,SKW5672 ,301,80,2024,43,0,6
a94da6,1669335013,,1669338658,KPWA,N699RK  ,,,1495,0,0,11
ab2e9b,1669336403,,1669337348,6TN9,N82B    ,,,4429,2178,0,3
c0850c,1669336590,,1669339287,CYVR,JZA88   ,,,1098,72,0,3
c81a91,1669336513,,1669340301,NZAA,ANZ212L ,,,1715,92,0,2
e48f00,1669338925,,1669340831,,GLO1638 ,,,,,0,0
49d49a,1669338627,WSAG,1669340672,WSSL,OKBBB   ,5479,651,1498,1619,3,5
750065,1669335905,,1669338149,WBKK,MWG3013 ,,,1067,4,0,0
801501,1669335435,,1669336127,,GOW368  ,,,,,0,0
800da2,1669340010,,1669341568,,SEJ276  ,,,,,0,0
8469ec,1669337470,,1669340240,RJBE,FDA852  ,,,157,75,0,2
846d0c,1669334956,RJCJ,1669341429,RJBE,ADO118  ,1752,369,578,90,1,2
894099,1669338703,,1669341235,,DHX100  ,,,,,0,0
896596,1669339680,,1669340399,OMAA,ETD205  ,,,25795,773,0,1
899148,1669338733,,1669340367,RCKH,MDA302  ,,,2639,51,0,3
7c42f9,1669338718,YMPC,1669341313,YMPC,NIJ     ,304,42,661,72,0,4
7c43d6,1669338599,YMMB,1669339527,YLOY,NOO     ,1004,45,7863,563,0,2
a4d9d8,1669335827,KPSP,1669337878,KLAS,SWA2834 ,446,45,1300,131,0,3
a9e5e9,1669335664,KMKE,1669339996,KBWI,SWA696  ,232,14,2181,52,0,7
c055f5,1669336506,CYYJ,1669337303,CYVR,JZA162  ,2475,308,1305,80,0,3
c07eef,1669337148,KLGA,1669341478,CYYZ,WJA1215 ,226,90,969,21,0,4
c819dc,1669334599,NZTG,1669336240,NZAA,ANZ134L ,5662,750,1638,99,1,2
0d04ae,1669338790,MMMX,1669339490,,SLI2658 ,1700,56,,,0,0
505ca4,1669338071,OMDW,1669339589,,AXE7911 ,904,3,,,0,0
700003,1669338399,OMDB,1669339319,,AFG402  ,804,26,,,0,0
758325,1669339593,RPLL,1669341059,,CEB504  ,417,91,,,1,0
863188,1669334644,RJTT,1669336014,,ANA747  ,1715,126,,,0,0
8881ad,1669336040,,1669337331,VVGL,VJC120  ,,,26085,1897,0,1
896177,1669338781,,1669340139,OMDB,UAE7GF  ,,,1914,41,0,2
7c530b,1669338517,,1669340309,YBBN,QLK363D ,,,1004,3,0,2
7c74c6,1669336385,,1669337554,YBAF,XCO     ,,,958,34,0,3
7cf9da,1669338003,YNTM,1669338913,YPEA,TANG10  ,1435,1172,1355,22,0,2
7cf9da,1669335015,YPEA,1669336558,YGOM,TANG10  ,913,14,23191,2255,0,2
a5bb88,1669337888,KHPN,1669340986,KXLL,N469FA  ,1506,224,4280,167,0,24
ab8490,1669336303,KPDX,1669340001,OR57,N841LF  ,7554,9,4159,768,2,6
ad53e8,1669334786,KFFC,1669340419,KIPJ,N958RT  ,2405,317,1738,7,6,5
c0807f,1669335548,,1669336495,,WEN3240 ,,,,,0,0
e0958e,1669335411,,1669336379,SAEZ,JES3013 ,,,2265,25,0,4
3a46ae,1669338557,,1669341325,NTAA,VT525   ,,,1151,6,0,1
780ccc,1669336062,,1669339044,ZGSZ,CSN3875 ,,,7947,316,0,1
800d08,1669335629,VIDP,1669338038,,SEJ3701 ,441,23,,,1,0
88044d,1669336345,VTBD,1669337125,,AIQ3235 ,5609,614,,,0,0
7c1229,1669336785,,1669339695,YSBK,DVF     ,,,484,8,0,2
7c1702,1669336866,YSCN,1669338119,YSCN,ETW     ,2985,67,4050,158,0,5
7cf9d9,1669334691,YPEA,1669338989,YPEA,VIPR13  ,872,22,1683,30,0,2
a60852,1669335808,KLAS,1669339798,KSMF,SWA2135 ,1022,131,2719,8,2,20
a7917c,1669334545,,1669339636,KEIK,N587SC  ,,,1080,100,0,16
a6a66f,1669338416,KMIA,1669339127,KTMB,N5278R  ,11587,180,13039,271,0,10
a7a4e6,1669335581,PANC,1669337288,,ASA645  ,733,121,,,7,0
c01a52,1669335996,,1669341276,CYYZ,JZA505  ,,,1104,28,0,4
c065e3,1669338188,,1669339379,,CGMPE   ,,,,,0,0
c818db,1669335994,NZWN,1669336820,,ANZ309L ,8804,848,,,0,0
c822af,1669339876,NZAA,1669340758,,GBA359  ,1332,206,,,0,0
c82458,1669339852,,1669340720,,ZKTTS   ,,,,,0,0
c82458,1669336140,,1669336816,,ZKTTS   ,,,,,0,0
e48b01,1669337428,,1669339224,,GLO1530 ,,,,,0,0
151dcf,1669339372,,1669341400,UUEE,AFL1851 ,,,8254,305,0,0
0d0e2c,1669335850,MMMX,1669337719,,AMX812  ,205,81,,,0,0
4bb075,1669334631,,1669340546,,THY266  ,,,,,0,0
781192,1669335704,,1669338096,,CXA8815 ,,,,,0,0
780b07,1669338565,,1669339728,,CDG8857 ,,,,,0,0
888178,1669334453,VVGL,1669335705,,BAV205  ,12925,1760,,,1,0
7c6b13,1669338343,YSSY,1669340997,,JST721  ,1377,46,,,0,0
7c7a48,1669338768,,1669340634,YBBN,VOZ776  ,,,1020,3,0,2
8a0919,1669340211,,1669340872,,SJV812  ,,,,,0,0
a22b87,1669339291,KDMA,1669339963,,N239SH  ,9570,8,,,0,0
c0581a,1669339200,CYVR,1669340095,CYCD,CGHJL   ,12564,33,12616,2,0,0
c0581a,1669335774,CYCD,1669336739,CYVR,CGHJL   ,11823,17,11828,42,0,4
c07f37,1669338410,CYYZ,1669341135,CYOW,WEN3476 ,1147,36,1109,22,1,5
c2b0ad,1669335852,,1669337583,CYXE,CFC515  ,,,1077,8,0,2
e8026a,1669336579,SPJC,1669340399,,LPE2243 ,1964,270,,,3,0
71c092,1669339632,,1669340998,RKSS,KAL1844 ,,,2106,25,0,4
71bf24,1669338381,RKTN,1669340090,,JNA579  ,6574,848,,,0,0
7502dd,1669335017,WMSA,1669335647,,MXD1802 ,2388,262,,,0,0
800756,1669338135,,1669340185,VOMM,IGO339  ,,,2709,67,0,1
846ec8,1669335308,RJSS,1669338804,RJCC,APJ411  ,1467,71,23190,828,1,1
896533,1669336255,OMDB,1669341291,,FDB831  ,762,26,,,0,0
8965cc,1669338666,OTBD,1669341407,OMDW,FDB4YC  ,2175,73,795,27,1,1
7c384c,1669335561,YBCG,1669336500,YBAF,LEM     ,4152,877,375,19,0,2
7c582c,1669340314,,1669341256,YPPF,RPA     ,,,1305,24,0,4
7c582c,1669334818,YPPF,1669336117,YBVA,RPA     ,378,17,26945,1325,2,0
7c4e36,1669335952,YPPF,1669341020,YPPF,PQG     ,587,9,1613,2,2,4
7cc3ae,1669336593,YCEM,1669339505,YCEM,R8516   ,1612,182,1488,121,1,1
a07c0d,1669335780,KOSU,1669337136,OH88,N130JV  ,528,1,14269,238,3,11
a243dc,1669338003,KHVN,1669338775,KHPN,N245PE  ,3507,484,4234,102,0,0
a243dc,1669335109,KLOM,1669337039,KHVN,N245PE  ,2134,75,4364,308,0,1
a28545,1669339821,KSTL,1669341025,7LL9,KAP516  ,2113,139,6739,1309,1,7
a28545,1669335068,44IS,1669336521,KSTL,KAP516  ,1828,1143,645,28,0,7
a1e2f8,1669334729,KLGB,1669339332,KLGB,N220WC  ,475,41,1276,25,3,7
a496cb,1669337196,7FL6,1669338894,KPBI,EJA395  ,637,7,5373,1480,3,6
a3e55b,1669335701,,1669336738,KLAS,N350FS  ,,,1497,116,0,3
a55231,1669334749,KHWD,1669337385,KHWD,N442BN  ,304,76,485,76,1,7
a4ce71,1669336642,KSEA,1669339077,,DAL1427 ,797,71,,,2,0
aa568f,1669337383,KSFO,1669339392,KRNO,UAL1053 ,238,80,2275,103,0,5
abe872,1669335799,KBWI,1669340603,KSAV,SWA3682 ,448,1,10062,1097,1,6
ad689c,1669337883,KHHR,1669338992,KHHR,N963PM  ,1646,132,1634,40,5,7
c012ef,1669334533,KPIE,1669337935,FL82,CFHEK   ,97,3,8717,618,1,9
0d0a7a,1669338288,MMMX,1669338982,,SLI2600 ,1556,17,,,0,0
0d0af0,1669335505,,1669340067,KSAT,XAUUL   ,,,4662,202,0,16
7586d7,1669338503,,1669340745,RPLL,CEB908  ,,,2423,7,0,1
76e731,1669336715,YPEA,1669340895,YPEA,EGLE835 ,871,7,2168,0,0,2
800d03,1669336890,,1669339123,VIDP,SEJ2344 ,,,1999,31,0,2
800cbf,1669337060,VECC,1669340305,VERC,IGO7623 ,839,4,10414,427,0,0
8881a7,1669335302,,1669336499,VVGL,VJC466  ,,,26286,1958,0,0
8991b8,1669337437,RCTP,1669340950,,MDA991  ,3468,478,,,0,0
7c0377,1669339221,YSTW,1669341067,YWBH,AYX     ,559,33,29029,1645,0,0
7c0377,1669335909,YBZA,1669336733,YSTW,AYX     ,14725,853,915,40,0,1
7c06eb,1669337623,YSPT,1669340156,YWSG,BNH     ,411,29,19913,1993,0,0
7c3b1e,1669339364,YMEN,1669340389,YCEM,LYO     ,264,40,8052,319,1,1
7c3b1e,1669336169,YMEN,1669337447,YMEN,LYO     ,624,2,558,63,1,3
7cc52c,1669339508,YHEC,1669341250,YBOA,8665    ,639,91,5605,670,1,1
a6c12f,1669338128,,1669339499,MMMX,VOI221  ,,,20106,1145,0,0
a8b8f0,1669335126,,1669335944,KMAN,N661LF  ,,,2193,56,0,15
acb953,1669335606,MMUN,1669339714,KMIA,AAL1723 ,7820,640,4848,119,0,7
c828ea,1669338021,,1669340919,NZAA,ANZ072M ,,,1843,99,0,2
e0658e,1669336053,SABE,1669337454,,ARG1530 ,1568,177,,,0,0
4408f5,1669335257,,1669338523,EFHK,TAY4904 ,,,3250,77,0,2
706202,1669339299,,1669340561,OKBK,JZR714  ,,,2547,28,0,1
76e728,1669334753,YPEA,1669337899,YPEA,EGLE833 ,816,0,1635,22,0,2
8013da,1669334737,,1669339045,VIDP,IGO2056 ,,,3315,53,0,1
800d6a,1669338444,VOMM,1669340980,,IGO7084 ,1156,144,,,1,0
846078,1669334873,RJCJ,1669338987,RJAA,APJ566  ,1750,423,26937,1412,1,0
86d629,1669336567,,1669338913,RJBB,APJ172  ,,,4005,23,0,1
888054,1669339936,,1669341167,VVGL,HVN156  ,,,26059,1645,0,0
888175,1669338120,,1669339609,VVCI,VJC274  ,,,1310,24,0,1
7c1617,1669335303,YBAF,1669337159,YBMC,END     ,115,42,29916,1359,0,0
7c4807,1669339413,YBCG,1669340403,YBCG,OIH     ,6128,389,1944,85,1,2
7c4807,1669335340,YBCG,1669336192,YBCG,OIH     ,4737,389,2431,145,0,2
7c7c43,1669337955,YPPF,1669340729,YPPF,YTX     ,363,5,1418,24,2,4
a021e9,1669338717,KABQ,1669339785,,N1076K  ,1113,6,,,0,0
a0b676,1669336755,KPVG,1669337698,9NC4,N145NG  ,4880,320,9305,15,1,5
a37e79,1669339659,KJYO,1669341194,KEZF,N324PH  ,695,41,3297,195,2,12
c0064c,1669340255,CYVR,1669341239,,JZA480  ,1722,18,,,0,0
c078b6,1669337630,CJB3,1669338294,CYWG,CGTSN   ,3903,472,2019,5,1,4
c07f39,1669334475,CYVR,1669335462,,WEN3354 ,1902,216,,,0,0
c808af,1669339123,,1669340419,NZWB,ZKGOM   ,,,29081,1673,0,0
c808af,1669334428,NZOM,1669336758,,ZKGOM   ,12386,1279,,,1,0
c820a0,1669334724,NZRT,1669340778,NZRT,ZKRDZ   ,101,188,854,166,0,3
0d0a63,1669335859,KNRS,1669337567,KONT,TAA2708 ,226,1189,1625,43,2,6
71bd28,1669338933,,1669341523,RKSS,AAR8928 ,,,1980,25,0,4
7805fb,1669338089,,1669339224,,CSN3515 ,,,,,0,0
846d80,1669335707,RJFF,1669338683,,FDA142  ,1120,157,,,0,0
885964,1669335968,VTBS,1669336580,,TVJ340  ,3205,318,,,0,0
7c5e06,1669335658,,1669337827,YBBN,SUW     ,,,1013,3,0,2
7c8031,1669339520,YMML,1669341236,,RXA3468 ,1132,40,,,1,0
7c7c9c,1669335554,YMML,1669339329,YSSY,VOZ837  ,2194,10,1742,29,1,2
a5c7cc,1669334405,AK24,1669335367,PAMR,N4714Y  ,5817,390,576,141,9,18
a6ed0d,1669337949,KBKV,1669339987,KEVB,N5451U  ,2678,251,1524,3,1,6
ab729e,1669336129,KOAK,1669337697,KE16,CMD2    ,13388,48,9572,318,0,2
aaa96f,1669336446,KSNA,1669338871,KLAS,SWA572  ,1858,310,1147,146,0,3
ac0479,1669337595,KPTK,1669338478,MI23,N87341  ,1187,112,8484,1013,0,11
c008d7,1669336244,CYYZ,1669341329,KCVG,JZA707  ,1763,36,2218,6,1,12
c07f7c,1669336810,SC33,1669340371,4FL3,CGWHF   ,1112,1470,4559,1326,7,13
e49266,1669339936,,1669340782,,GLO2034 ,,,,,0,0
151ef6,1669336159,,1669338259,UHWW,SBI6216 ,,,518,16,0,0
71004b,1669334863,,1669337155,OTHH,SVA536  ,,,4813,141,0,1
70c101,1669336801,,1669341309,,OMA412  ,,,,,0,0
8014c0,1669335789,,1669337890,VOMM,IGO531  ,,,2629,67,0,1
841c60,1669337097,RJOO,1669339822,RJTT,JAL110  ,1646,160,3832,42,0,2
8464d2,1669336579,RJTT,1669339576,,ANA383  ,1828,126,,,0,0
8518ae,1669335930,,1669339576,RJTT,JAL624  ,,,4187,57,0,2
86803e,1669337602,,1669339511,RJBE,SKY132  ,,,824,75,0,2
89904d,1669335293,RCKH,1669336189,RCWA,UIA8691 ,7625,1232,12144,1435,0,1
7c7597,1669338764,YBBN,1669340624,YNSH,RSCU533 ,1711,42,20822,1790,0,1
7c6b3c,1669337149,YSSY,1669341236,,JST890  ,1356,92,,,0,0
7c6db0,1669337070,,1669338475,YBBN,QFA709  ,,,1027,11,0,2
7c8125,1669337055,YBAF,1669340109,YBAF,ZSN     ,350,49,580,19,0,2
a07c1a,1669337019,KOSU,1669338925,OI01,N130KH  ,676,9,4748,434,3,5
a08fc1,1669337145,KSYR,1669339219,KK09,N135WJ  ,1452,267,19893,639,2,0
a20e38,1669335232,KFLL,1669341445,KMSY,SWA1960 ,6459,614,1406,24,0,5
a65c08,1669335466,KDEN,1669339734,,LYM3919 ,2770,21,,,4,0
a7130c,1669337928,KBUR,1669340817,KOAK,SWA1222 ,1085,136,1720,94,2,5
abeb9f,1669336111,,1669340505,,SWA706  ,,,,,0,0
c01a5c,1669337286,KDCA,1669341105,CYYZ,JZA787  ,1249,79,1426,28,1,4
e06611,1669338937,,1669340514,SABE,ARG1823 ,,,2324,47,0,7
34648d,1669336547,LFPG,1669340218,LFBO,SWN5629 ,2114,162,1321,45,2,4
70620f,1669339230,,1669339878,OKBK,JZR650  ,,,2333,21,0,1
71c004,1669334746,RKSI,1669339065,RJBB,AAR112  ,6728,815,5236,37,0,1
8014a1,1669335777,VIDP,1669338145,,GOW267  ,558,31,,,1,0
8014e5,1669339073,VOBL,1669340712,,IGO6802 ,2987,167,,,1,0
800bef,1669337092,VIDP,1669340832,,AIC459  ,3429,22,,,1,0
867d00,1669336507,RJOO,1669338133,RJOM,ANA1635 ,1567,121,25526,1386,0,0
89914f,1669339350,,1669340399,RCMQ,MDA762  ,,,4141,110,0,1
7c0582,1669334827,,1669335464,YPMQ,BDG     ,,,2521,57,0,1
7c5950,1669336380,YSCH,1669341119,YSSY,RXA6417 ,1306,13,2934,6,0,2
7c4cd4,1669334574,,1669336843,YMEN,PGM     ,,,1666,5,0,2
7c7534,1669334547,YPPH,1669336797,,PY1988  ,715,40,,,0,0
7c7611,1669339710,YWIO,1669340916,YWIO,XLV     ,2807,266,2653,274,1,3
7c7611,1669335940,YWIO,1669338569,YWIO,XLV     ,2689,236,2928,259,1,3
7c6dd5,1669335472,YSSY,1669338943,YBCG,QFA594  ,1125,46,5724,237,0,2
7cf9e1,1669339683,YNTM,1669340843,YPEA,TANG02  ,1727,1157,1380,30,0,2
7cf9e1,1669336268,YPEA,1669338149,YGOM,TANG02  ,817,7,16313,2072,0,1
a3f07f,1669337078,KSFO,1669340931,KLAS,FFT2080 ,48,87,1317,138,0,3
a55b7a,1669339051,KMDW,1669340899,KGRR,SWA1331 ,1453,169,4494,161,0,9
aa8bbc,1669334567,,1669335716,K61B,N779PA  ,,,5774,91,0,1
ab7f50,1669335169,KTEB,1669337666,KBED,N84UP   ,1089,50,1707,40,0,6
ad3869,1669338282,KBLI,1669340325,KBFI,N951AL  ,4108,39,14732,36,2,7
e49104,1669338089,SBBR,1669338974,,GLO1740 ,2113,14,,,1,0
71c224,1669336200,,1669338119,RKSS,JNA380  ,,,2803,4,0,4
71c268,1669335464,,1669336811,,TWB871  ,,,,,0,0
780813,1669335339,,1669336760,,B7797   ,,,,,0,0
880847,1669336249,VTBD,1669337061,,AIQ3250 ,5509,667,,,0,0
89617f,1669338934,,1669340039,OMDB,UAE4V   ,,,2199,26,0,2
8960d4,1669336156,,1669338069,OMDB,UAE776  ,,,1850,34,0,2
7c3552,1669334959,YPJT,1669335959,,BRDG642 ,550,61,,,0,0
7c4dd3,1669337005,YBSS,1669340069,YBSS,PNP     ,1391,32,2084,24,0,2
7c6db3,1669335953,YSSY,1669339693,YBBN,QFA516  ,1016,69,1465,34,0,2
7c7c2e,1669336383,YPPF,1669337546,YSFL,YTC     ,601,24,13097,1623,2,1
a0a6c5,1669335099,KBOS,1669337721,KJFK,DAL2932 ,1235,291,2473,57,0,2
a24757,1669337393,KSFO,1669340439,KBUR,SWA864  ,243,80,2722,14,0,4
a703eb,1669335366,KHMT,1669336378,KCRQ,N551JA  ,68,34,980,39,1,5
a8dcee,1669335429,KFLL,1669340458,KATL,NKS1078 ,3712,401,2502,0,1,20
ac101f,1669334939,KLAS,1669337339,KPHX,SWA3431 ,1048,131,5754,172,2,10
ac210e,1669335084,KSMF,1669339040,KNZY,SWA3274 ,1726,98,12456,586,7,5
c00856,1669335325,CYWG,1669337848,,VN08    ,421,58,,,0,0
c082c2,1669338699,CYZV,1669339797,,PVL3043 ,10754,1568,,,0,0
c811de,1669340332,,1669340990,NZWN,SDA120  ,,,4283,505,0,0
c811de,1669337380,NZWN,1669338082,NZPN,SDA119  ,5663,779,22254,1292,0,0
c81a1b,1669338436,NZOM,1669339316,NZWN,SDA268  ,5952,1584,8561,566,1,0
e072d4,1669337223,SABE,1669338217,,ARG1668 ,1484,162,,,0,0
e493d1,1669334982,,1669337908,SBKP,AZU4925 ,,,5897,214,0,4
0d0ba1,1669337273,,1669338205,MMMX,AMX241  ,,,8740,307,0,1
0d0de3,1669337121,,1669337907,MMMX,VIV1051 ,,,1094,103,0,1
706025,1669338067,OKBK,1669341537,OTHH,KAC621  ,3400,348,3012,4,0,1
7801c7,1669336483,VHHH,1669337262,,CPA982  ,770,52,,,0,0
7c5bfc,1669336456,YMMB,1669337248,YMEN,SGE     ,1031,15,1588,55,0,2
7c6c96,1669334982,YWLM,1669338262,YBBN,JST480  ,2607,257,1477,26,0,2
a284b5,1669334561,KBUR,1669337924,KRNO,SWA3019 ,2196,364,1277,164,2,4
a6039a,1669335435,1PN1,1669337729,KFIG,N487LF  ,2885,1299,9974,1145,4,5
a950c0,1669336980,KTYS,1669338629,KBNA,N7KC    ,426,1,1843,22,3,3
c0340b,1669339147,,1669340667,CYWG,PAG117  ,,,2217,2,0,4
c055c6,1669338416,CYOW,1669339647,CYUL,JZA069  ,1335,145,2691,13,0,4
0d0947,1669335065,MMTJ,1669338986,,VIV5006 ,14877,1923,,,0,0
4baa4f,1669336417,,1669338525,LTFM,THY3RP  ,,,5536,320,0,2
750211,1669338616,,1669340279,,MAS1432 ,,,,,0,0
86d96c,1669335519,RJOO,1669338207,RJTT,ANA18   ,1830,83,4360,73,0,1
881056,1669335191,VTBD,1669336015,,NOK200  ,4727,629,,,0,0
8963df,1669336980,,1669341539,OMDB,UAE788  ,,,2222,34,0,2
8a041d,1669334650,WARJ,1669337247,WARJ,J979    ,7634,807,8374,502,0,1
a5433f,1669339242,KFSD,1669340974,NE67,N4380S  ,2863,341,6375,675,3,4
a687b4,1669336542,KN12,1669337512,KLDJ,N52MM   ,583,43,1062,14,2,4
a5dd1c,1669338041,,1669340168,KATL,SWA2358 ,,,2168,23,0,21
a8f302,1669338609,PS66,1669339278,PN02,N676LF  ,4808,128,7332,414,2,5
aa9d50,1669335565,,1669338997,KBNA,SWA311  ,,,2216,45,0,5
ab3129,1669337073,KDEN,1669340325,KCEZ,LYM3111 ,4980,1,1112,96,2,1
ad6ca7,1669337195,,1669339210,KDEN,SKW387Y ,,,6044,21,0,18
c05064,1669335143,CYSA,1669337232,CYSA,CGELN   ,173,19,1335,25,0,2
c05f08,1669335546,KSEA,1669337577,CYVR,,985,55,1356,72,2,3
c88092,1669335797,,1669337405,NZAA,FJI419  ,,,1565,92,0,2
e07585,1669335487,,1669337339,SABE,ARG1473 ,,,4046,146,0,7
e8025f,1669340180,,1669341113,SPJC,LPE2356 ,,,8844,346,0,5
e8033c,1669335513,SPJC,1669336294,,SKX5143 ,1853,270,,,3,0
71018c,1669334916,OERK,1669337966,OTHH,SVA544  ,6803,693,3349,65,0,1
71bf19,1669336032,,1669337530,RKTU,JNA552  ,,,17304,2136,0,1
760997,1669336178,OTBD,1669339618,,PIA288  ,1622,88,,,1,0
7609ec,1669335835,OMDB,1669336990,,PIA284  ,699,26,,,0,0
780e6f,1669337293,,1669338286,,CSH9537 ,,,,,0,0
89914a,1669338397,,1669339346,RCKH,MDA332  ,,,9066,386,0,3
8990e3,1669335193,,1669337099,,EVA225  ,,,,,0,0
7c5b4a,1669338456,YMML,1669341262,,QLK55   ,1594,56,,,1,0
a03764,1669337032,13AZ,1669337812,KGYR,N113AM  ,6559,178,4734,51,1,8
a7c28d,1669340477,,1669341376,1FD4,N6A     ,,,1769,2200,0,6
a7c28d,1669337268,,1669338350,7FD6,N6A     ,,,11603,879,0,5
aa7e36,1669338493,KSFO,1669340159,,UAL1749 ,673,72,,,0,0
abe621,1669335680,KLWS,1669337299,KSFF,N866LF  ,7304,909,1430,84,0,19
ad7b58,1669334645,KRHV,1669339756,KRHV,N968RC  ,581,71,578,102,1,3
acf2cf,1669337054,,1669340097,KDAL,SWA2841 ,,,3167,57,0,9
781a77,1669334864,,1669335695,,GCR7437 ,,,,,0,0
7c3635,1669334777,,1669335628,YBCG,KZR     ,,,2575,123,0,2
7c7b60,1669340105,YPPF,1669340893,YLYK,YNM     ,402,9,11299,1043,2,1
7c7b60,1669334439,,1669335291,YPPF,YNM     ,,,1428,40,0,4
a17559,1669335070,KAVQ,1669338446,KAVQ,SKYVAN3 ,4892,661,4538,264,5,8
a7f02d,1669338267,KADS,1669340977,KAXH,EJA610  ,1013,161,12592,1587,2,11
ac049e,1669338474,K9X1,1669340928,9AR4,ASH6190 ,9376,1532,10320,2131,1,6
ad0beb,1669335157,KLAS,1669341520,MMHO,N94MJ   ,1376,123,1086,15,2,0
c82241,1669336027,NZRT,1669337769,NZRT,ZKHKW   ,302,150,21364,227,0,0
c828a8,1669340074,,1669341309,NZWN,MDK01   ,,,4311,574,0,0
